school,latitude,longitude,pct_over_obese
Jamesville-Dewitt Central School,43.0398,-76.0721,26
Ballston Spa Central School,43.0047,-73.8469,26
Newark Valley Central School,42.2303,-76.1857,26
Webster Central School,43.2087,-77.4307,26
Canandaigua City Schools,42.8912,-77.2945,26
Clymer Central School District,42.0209,-79.627,26
Livonia Central School,42.8218,-77.6679,26
West Valley Central School District,42.406,-78.6097,26
Margaretville Central School District,42.1454,-74.6532,26
Tuxedo Union Free School,41.228,-74.1854,26
Wayne Central School,43.2232,-77.3057,26
Chazy Union Free School,44.8876,-73.4345,26
Three Village Central School,40.9208,-73.1338,26
Croton Harmon U F S,41.2113,-73.8762,26
Fairport Central School,43.0986,-77.4452,26
Herricks Union Free School,40.7606,-73.6609,26
Cooperstown Central School,42.6904,-74.9347,26
Canisteo-Greenwood Central School District,42.2654,-77.6091,26
Shoreham-Wading River Cent Sch,40.9451,-72.8829,26
Hartford Central School,43.3633,-73.3926,26
North Collins Central School,42.5985,-78.9401,26
Plainview-Old Bethpage Cent-Sch,40.7803,-73.4656,26
Orchard Park Central School,42.7942,-78.7268,26
Mayfield Central School,43.1024,-74.2632,26
Bolton Central School,43.5593,-73.657,26
Grand Island Central School,43.0386,-78.9316,25
Lockport City Schools,43.1608,-78.6807,25
Westhill Central School,43.0421,-76.2233,25
West Islip Union Free School,40.7047,-73.3038,25
Voorheesville Central School District,42.6404,-73.9629,25
Germantown Central School District,42.1336,-73.8902,25
Iroquois Central School,42.8356,-78.6063,25
Fayvill-Manlius Cent Sch,43.0074,-75.9602,25
Jericho Union Free School,40.7982,-73.5452,25
Massapequa Union Free School,40.6665,-73.4529,25
Sag Harbor Union Free School,40.9954,-72.2898,25
Chappaqua Central School,41.1763,-73.7546,25
Brighton Central School,43.1249,-77.5633,25
Tuckahoe Union Free School,40.9512,-73.8309,25
Sherman Central School District,42.1608,-79.5945,25
Hamburg Central School,42.7426,-78.7985,25
Pt Washington U F S,40.8293,-73.6817,25
Northport-East Northport Union Free School District,40.8961,-73.3373,25
Eastchester Union Free School,40.9623,-73.8111,25
Locust Valley Central School,40.888,-73.5903,24
Victor Central School,42.9923,-77.4194,24
Hamilton Central School,42.8224,-75.5474,24
Great Neck Union Free School,40.7624,-73.7044,24
East Aurora Union Free School,42.7681,-78.6183,24
Elmsford Union Free School,41.049,-73.8177,24
Amagansett Union Free School,40.9766,-72.139,24
Niagara Wheatfield Cent Sch,43.1003,-78.917,24
Saratoga Springs City Schools,43.0727,-73.803,24
Hilton Central School,43.2879,-77.7996,24
North Merrick U F S,40.6949,-73.5654,24
Ramapo Central Schools,41.1251,-74.1698,24
Bedford Central School,41.1835,-73.6504,24
Hauppauge Union Free Schools,40.8239,-73.1865,24
Smithtown Central School District,40.8544,-73.1996,23
So Western Cent Sch-Jamestown,42.0897,-79.294,23
Roslyn Union Free School,40.7944,-73.64,23
Cato Meridian Central School District,43.1743,-76.5528,23
Laurens Central School,42.5311,-75.0889,23
Mattituck-Cutchogue U F S,41.0139,-72.4856,23
Niskayuna Central School,42.8083,-73.8946,23
Syosset Central School,40.8322,-73.4876,23
Dobbs Ferry Union Free School,41.0184,-73.87,23
Rye City School District,40.9766,-73.6976,23
Alexander Central School,42.902,-78.2611,23
Lewiston Porter Central School,43.2161,-79.0179,23
Pocantico Hills Central School,41.0991,-73.8312,23
Garden City Union Free School,40.7206,-73.6416,23
Brookfield Central School,42.8098,-75.34,22
West Irondequoit Central School,43.2166,-77.5929,22
Whitesville Central School District,42.038,-77.7786,22
Floral Pk-Bellrose U F S,40.7197,-73.7199,22
Harrison Central School,40.9797,-73.717,22
Katonah Lewisboro U F S,41.24,-73.517,22
Shenendehowa Central School,42.8692,-73.7712,22
Lynbrook Union Free School,40.653,-73.6716,22
East Williston U F S,40.7618,-73.6177,22
Edgemont Ufs Greenburgh,41.0007,-73.8093,22
Rye Neck Union Free School,40.9572,-73.717,22
Honeoye Falls-Lima Central School,42.951,-77.5891,21
Trumansburg Central School,42.5389,-76.6527,21
Andover Central School District,42.1586,-77.792,21
Cold Spring Harbor Central Sch,40.8802,-73.4509,21
New Hyde Pk-Garden City Pk Ufsd,40.7509,-73.6784,21
Cazenovia Central School,42.9333,-75.8584,21
Rensselaer City Schools,42.6586,-73.7249,21
Irvington Union Free School,41.0333,-73.8712,21
Rhinebeck Central School,41.9247,-73.9038,20
Pittsford Central School,43.0591,-77.5263,20
Montgomery,42.933637,-74.341972,20
Manhasset Union Free School,40.7942,-73.7039,20
Half Hollow Hills Central Sch,40.795,-73.3548,20
Bolivar-Richburg Central School District,42.0654,-78.161,20
Troy City Schools,42.7466,-73.6832,20
Hastings On Hudson U F S,40.9945,-73.8782,20
Chester Union Free School,41.3666,-74.2784,19
Southold Union Free School,41.0594,-72.4304,19
Blind Brook-Rye Ufsd,41.0321,-73.6803,19
North Salem Central School District,41.354,-73.5942,19
Fillmore Central School District,42.4662,-78.1188,19
Remsenburg Speonk U F S,40.8147,-72.6944,19
Canaseraga Central School District,42.4615,-77.773,19
Wyoming Central School,42.8213,-78.0944,19
Addison Central School,42.0865,-77.2481,18
Ardsley Union Free School,41.0221,-73.8341,18
Pelham Union Free School,40.9039,-73.8123,18
Highland Falls Central School,41.3529,-73.9758,18
Remsen Central School,43.3458,-75.1937,18
Byram Hills Central School,41.1343,-73.6865,18
Warwick Valley Central School,41.2551,-74.3858,18
Hunter Tannersvl Cent Sch,42.1957,-74.1373,18
Briarcliff Manor U F S,41.147,-73.8194,17
Tuckahoe Com Sch-Southampton,40.8976,-72.4166,17
Pt Jefferson U Free Sch,40.9443,-73.0535,17
Scarsdale Union Free School,40.9953,-73.7949,16
Schroon Lake Central School,43.8389,-73.7614,16
Pleasantville U F S,41.1338,-73.7858,15
Wheelerville Union Free School,43.2295,-74.5172,15
Mamaroneck Union Free School,40.9408,-73.7432,15
Crown Point Central School,43.951,-73.4296,15
Bradford Central School,42.3668,-77.0943,14
Hamilton,43.618468,-74.395268,13
Alfred Almond Central School District,42.2954,-77.749,12
Ripley Central School District,42.268,-79.7114,11
Quogue Union Free School,40.821,-72.6054,11
Morris Central School,42.5507,-75.2373,11
Arkport Central School,42.3945,-77.6901,11
Oppenheim Ephratah Central School,43.0603,-74.6633,10
St Johnsville Central School,42.9991,-74.6739,10
Vestal Central School District,42.0849,-76.0537,9
Bronxville Union Free School,40.9366,-73.8318,6
