LOCATION CODE,COUNTY,AREA NAME,REGION,NO. OVERWEIGHT,PCT OVERWEIGHT,NO. OBESE,PCT OBESE,NO. OVERWEIGHT OR OBESE,PCT OVERWEIGHT OR OBESE,AREA TYPE,STREET ADDRESS,CITY,STATE,ZIP CODE,Location 1
641701,WASHINGTON,Whitehall Central School,NORTHEASTERN NEW YORK,32,23%,24,17.30%,56,40.30%,SCHOOL DISTRICT,87 BUCKLEY RD,WHITEHALL,NY,12887,"(43.5514, -73.375)"
8,CHENANGO,Chenango,NEW YORK - PENN,196,19%,219,21.20%,415,40.30%,COUNTY,,,,,"(42.481798, -75.570013)"
210800,HERKIMER,Little Falls City Schools,CENTRAL NEW YORK,41,20.10%,41,20.10%,82,40.20%,SCHOOL DISTRICT,15 PETRIE ST,LITTLE FALLS,NY,13365,"(43.0444, -74.852)"
270301,MONTGOMERY,Canajoharie Central School,NORTHEASTERN NEW YORK,66,30.10%,22,10%,88,40.20%,SCHOOL DISTRICT,136 SCHOLASTIC WAY,CANAJOHARIE,NY,13317,"(42.8699, -74.542)"
430700,ONTARIO,Geneva City Schools,FINGER LAKES,82,20.10%,82,20.10%,164,40.20%,SCHOOL DISTRICT,649 S EXCHANGE ST,GENEVA,NY,14456,"(42.8649, -76.9829)"
522101,SARATOGA,Waterford-Halfmoon U F Sch,NORTHEASTERN NEW YORK,37,21.30%,33,19%,70,40.20%,SCHOOL DISTRICT,125 MIDDLETOWN RD,WATERFORD,NY,12188,"(42.8113, -73.6856)"
16,FRANKLIN,Franklin,NORTHEASTERN NEW YORK,314,18.30%,375,21.90%,689,40.20%,COUNTY,,,,,"(44.705699, -74.340621)"
430901,ONTARIO,Gorham-Mdlsex Cent Sch,FINGER LAKES,46,20.30%,45,19.80%,91,40.10%,SCHOOL DISTRICT,4100 BALDWIN RD,RUSHVILLE,NY,14544,"(42.7762, -77.2154)"
161601,FRANKLIN,Brushton-Moira Central School,NORTHEASTERN NEW YORK,36,20.60%,34,19.40%,70,40%,SCHOOL DISTRICT,758 COUNTY RT 7,BRUSHTON,NY,12916,"(44.8249, -74.5215)"
590801,SULLIVAN,Eldred Central School,HUDSON VALLEY,32,22.90%,24,17.10%,56,40%,SCHOOL DISTRICT,600 RT 55,ELDRED,NY,12732,"(41.5287, -74.883)"
